"","interes_ES","barreras_ES","publico_general_ES"
"161","Desde los primeros meses de mi formación como estudiante de doctorado, reconocí el enorme valor y el potencial transformador de las prácticas de Ciencia Abierta para mejorar la calidad, transparencia y accesibilidad de la investigación científica. Al ver cómo estas prácticas fomentan la colaboración y el intercambio de conocimientos de manera más equitativa, me comprometí a integrar estos principios en mi trabajo académico. Desde entonces, me encuentro buscando activamente oportunidades para fortalecer mis conocimientos en Ciencia Abierta, convencido de que su adopción no solo enriquece mis propias prácticas científicas, sino que también contribuye al avance y democratización del conocimiento en la comunidad científica en general.","En gran medida creo que presenta las mismas barreras o desafíos que en la mayoría de las disciplinas. Primero, muchos investigadores carecen de formación y/o recursos para implementar prácticas de ciencia abierta adecuadamente. Además, las presiones institucionales que priorizan publicaciones en revistas de alto impacto pueden desincentivar la transparencia. También creo que a veces hay dudas sobre la propiedad intelectual al compartir datos y materiales abiertamente y temor de que el trabajo de uno sea explotado sin el debido reconocimiento. Y desde ya, los costos elevados de publicación en acceso abierto representan otra enorme barrera. Por último, creo que en muchas casos sucede también una resistencia al cambio, la preferencia por lo conocido ante la incertidumbre de lo nuevo (se vincula con el primer punto, el de falta de formación para implementar estas prácticas).","Al hacer que los datos, resultados y metodologías sean accesibles, se fomenta la transparencia y se reduce la brecha entre investigadores y el público. Me gustaría creer que esto ayudaría a generar mayor confianza en la labor científica y a promover la participación activa en la investigación de ciudadanos y el desarrollo de nuevos proyectos de ciencia ciudadana. La ciencia abierta también contribuye a una mayor equidad en el acceso al conocimiento, democratizando la información y facilitando que más personas puedan utilizar y beneficiarse de los desarrollos científicos."
"162","Me estoy especializando en ciencia de datos","El conocimiento","Máximizar el potencial de los proyectos y construir una ciencia colaborativa y transparente"
"163","Para conocer como la ciencia puede llegar a toda la población, tanto para recibirlo como para producirlo.","No tengo mucha idea sobre esta perspectiva","No tengo mucha idea sobre esta perspectiva"
"164","Me parece interesante, de actualidad y me gusta el tema","Por lo general no se remuneradas apropiadamente, y cuando la quieres publicar los costos corren por tu cuenta, entonces no de dedicas ni el suficiente tiempo, ni tiempo de calidad.","Por lo gral los proyectos si no tienen apoyo o difusión apropiada no tienen los resultados esperados, falta una etapa más optima para que llegue a la comunidad y pueda influir apropiadamente"
"165","Para adquirir conocimientos",NA,"De manera positiva"
"166","trabajo con un grupo de investigadores","la falta de conocimiento sobre el tema","en la democratización de la información"
"167","Me interesa aprender nuevas herramientas que mejoren mi perfil profesional","La manipulación de los datos podría se engorrosa","Influiria de manera positiva ya que beneficiaría a ambas partes"
"168","Creo que la Ciencia debe beneficiar a toda la sociedad y que las personas que tuvimos la oportunidad de estudiar una carrera técnica en una universidad pública estamos en la obligación de trabajar para mejorar las condiciones de vida de nuestro pueblo","Ser relegados de grupos de investigación y del financiamiento por temas de propiedad intelectual o secreto industrial o patentes","Sería muy bueno acercar la Ciencia a la sociedad para que se visualicen los beneficios de la ciencia y se logre enfrentar a los grupos anti ciencia"
"169",NA,"Protección de los datos y la confiabilidad","Considero  que la adopción de principios de Ciencia Abierta podría promover a una mayor colaboración y confianza mutua ente la comunidad científica y el público en general."
"170","Es un tema de aplicar en general y quiero seguir preparándome","El tiempo y los recursos monetarios y tecnológicos","Bajar a la ciudadanía la información científica"
"171","Fortalecer mis capacidades profesionales","Datos personales","Mejora y permite el libre acceso a la información"
"172","Durante el 2022-23 cursé la Maestría en Efectividad Clínica de la UBA. En el segundo año del programa se abordaron aspectos relacionados a la ciencia de datos y el modelado, poniéndose de relieve por un lado la necesidad de acceder a información confiable y de calidad y por otro, a un tratamiento responsable y ético de los datos. Poder sumarme a este programa me permitiría profundizar en aspectos prácticos relacionados con el tema.","Desconocimiento de la existencia de repositorios para dicho fin","Brinda mayor trasnparencia al proceso de investigación"
"173","Para mi formacion profesional",NA,"Mayor disponibilidad de información"
"174","para ampliar formación  y favorecer la circulación de datos","La barrera idiomatica","Favorecer la buena práctica"
"175","Me gustaría nutrir mis conocimientos y participar en temas científicos que puedan impactar en nuestra sociedad, necesitamos jóvenes dispuestos a crear innovación","En el mayor de los casos por desinformación y falta de formación","Podría influir en muchos ámbitos como por ejemplo el fortalecimiento de conocimientos"
"176","Para aprender más","Publicar en acceso abierto en journals de alto impacto",NA
"177","Porque estoy pensando una investigación sobre Acceso Abierto en América Latina desde un enfoque bibliométrico.","Acceso abierto: Desconocimiento, licencias de las editoriales, políticas de evaluación desfavorables, costos de APC. Ciencia ciudadana: capacidades de absorción de las instituciones, dificultades de dialogo entre lenguajes industriales y de investigación, desalineamiento en la definición de temas de investigación.","Podría influir de manera muy favorable."
"178","Me lo recomendaron y me dijeron que me iba a resultar útil e interesante","No conozco sobre el tema, por eso tomo el curso",NA
"179","Complementar mi formación como Docente","Considero que nos falta mucho la práctica de publicar lo que se investiga. Por otro lado, no existen muchos programas que financien la investigación","Puede influir en perder el miedo a investigar y a publicar"
"180","Me interesa la ciencia abierta, he hecho cursos cortos para aprender al respecto sin certificación y me interesa uno que abarque más información, sea más detallado, amplio y que entregue certificación","Falta de confianza por pares investigadores y falta de apoyo para aplicarlo a nivel institucional","De manera positiva, se abre un paradigma para que el público general se adentre en áreas que quizá no pensaba que podía acceder. Insta a investigar y a expandir el conocimiento más allá de paredes académicas e institucionales."
"181","Me interesa la ciencia abierta","Plagio","Con intercambios de saberes que nutrirán a las partes"
"182","Quiero conocer personas y redes que estén trabajando en ciencia abierta para aprender y compartir lo aprendido, pensar acciones en conjunto, potenciarnos, etc","La accesibilidad a trabajar con población no académica. Las barreras del lenguaje técnico y el uso de tecnología","La democratización del conocimiento y la tecnología aporta a construir y fortalecer ese tipo de relaciones con actores locales"
"183","Conocer más sobre Ciencias","Económicos","Más personas se involucren en temas de ciencias"
"184","Para seguir creciendo en la profesión que elijo y amo, para aprender cómo encarar nuevos proyectos y para conocer gente con la que compartir ideas y perspectivas.","Barreras económicas y de desconocimiento de la práctica","Podría ayudar a visibilizar el trabajo científico y acercarlo a la comunidad, especialmente en estos tiempos en los que el CONICET está siendo tan cuestionado desde la desinformación."
"185","Me interesa participar en esta formación, para ampliar mi conocimiento en el área académica y así poder sumar más herramientas en mi formación","El desconocimiento de método y herramientas para el desarrollo de la disciplina",NA
"186","Para actualizar conocimientos relacionados con el diseño experimental y la vinculación al sector productivo","Disponibilidad de recursos","Talleres, cursos desde nivel basico educativo"
"187","A",NA,NA
"188","Me interesa la investigación con resultados asequibles para todos","Trabajar con la calidad en las revistas abiertas","Podríamos contar con una población con mayor y mejor acceso a la información"
"189","Porque trabajo con datos y código. Además apoyo la ciencia abierta y necesito formarme.","El uso de herramientas; cuestiones técnicas referidas a la programación; alcances legales; busqueda de reproducibilidad.","Creo que podría influir de forma muy positiva."
"190","Aprender sobre Ciencia Abierta y transmitir lo aprendido a mi grupo de trabajo","desconocimiento de las opciones existentes y falta de apoyo institucional",NA
"191","Tener una visión clara sobre ciencia abierta y las posibilidades de aplicación en mi región.","El presupuesto y confidencialidad de los datos.","Permite aterrizar conceptos complejos en población abierta, dar a conocer resultados que son de interés de la sociedad."
"192","Quiero hacer investigación en salud y ciencias sociales","Un mal interpretado estatus","Por que aporta al desarrollo humano"
"193","Porque la ciencia es mi forma de vida y me interesa realizar proyectos de investigación con mejores bases y actualizaciones","Encontrar revistas apropiadas para el tema","Benéfico en todo momento"
"194","Novedoso",NA,"Mucho"
"195","Quiero estar actualizado y voy a instrumentar un diplomado en divulgación de las ciencias, me dedico a escribir y requiero desarrollarme en lo más actual en bases de datos y metaanálisis.","El desconocimiento y descalificación de quienes dictaminan el trabajo de investigación y docente.","Es enorme el potencial, podríamos crear redes de conocimiento y enriquecer nuestra labor"
"196","Actualización  de conocimientos","Falta de conocimiento  e el manejo de los principios","Mayor productividad científica"
"197","Soy estudiante de Ingeniería Aeroespacial y me genera un interés a futuro","Como barrera la falta de información publica acerca de prácticas, falta de financiamiento o recursos","Con fortalecer la comunicación ya habría una influencia muy grande entre la comunidad científica y el público ya que, son muy pocss las personas que se enteran de este tipo de oportunidades."
"198","Porque formo parte de un equipo de profesionales que motivan a niñas y adolescentes en áreas STEAM","Poco conocimeinto de recursos abriertos y gratuitos para publicación si no tienes afiliación nstitucional que pueda cubrir ese costo. En mi área, publicar un paper puede requerir más de 2 mil USD en revisiones debido a que los habllazgos, especialmente los cuantitativos (mi especialidad) son revisados y re estimados antes de la publicación.","Facilitando el acceso a conocimiento abierto (divulgación científica) y también a lo que se denomina gestión del conocimeinto. Ello tiene un efecto colibrí y multiplicador que conduce a nuevas investigaciones, innovaciones, más y mayor profundidad en la investigación. Pero también incide en aspectos motivacionales a través del ejemplo y la mejora de la autoestima, fundamental para la ciencia. Quien no cree en sí mismo y sus capacidades, difícilmente es capaz de mostrar sus hallazgos."
"199","Considero importante, como investigadora que genera y utiliza datos, formarme en Ciencia Abierta","Cuestiones relativas a la legislación patrimonial y ética profesional en torno a información sensible para las comunidades originarias","Considero que su adopcion puede tener un impacto positivo. Democratizar o abrir los resultados de nuestras investigaciones puede ayudar a una mayor comprensión sobre cómo funciona la ciencia y, así, deconstruir muchos prejuicios producto del desconocimiento. También puede enriquecer los debates que surjan sobre las temáticas en cuestión."
"200","Para participar y generar acciones que impliquen ciencia abierta en los proyectos que trabajo","Las revistas Open acceso son muy costosas para un investigador argentino","Puede democratizar la ciencia aún mas"
"201","Aprendizaje y Colaboración","Uso de derechos de autor","De gran apoyo"
"202","Quiero incorporar y aprender más de ciencia para mejorar mi investigación","El desconocimiento de como publicar los datos abiertos, software y el avance tecnológico","Al aprender a usarla se puede implementar en nuestras prácticas de investigación y beneficiar nuestro potencial"
"203","Me interesa conocer más sobre prácticas de ciencia abierta","El costo de publicar en revistas de acceso abierto suele ser mayor que en las que no lo son","Positivamente, al favorecer el acceso a la información"
"204","Apoyo procesos de investigación dentro de la institución para la cual trabajo y estoy en la construcción de un documento de Ciencia Abierta para los investigadores","La adopción de la Ciencia Abierta enfrenta diversas barreras para los investigadores. Entre ellas, destacan las restricciones legales y la dificultad para proteger el dominio público en cuanto a la propiedad intelectual y el acceso a datos. La falta de estándares para el reúso ético y la interoperabilidad entre plataformas dificultan la colaboración. Culturalmente, existe resistencia al cambio.","La Ciencia Abierta tiene el potencial de mejorar la relación entre la comunidad científica y el público al aumentar la transparencia y accesibilidad al conocimiento científico, permitiendo que cualquier persona consulte las fuentes de información. Fomenta la participación ciudadana a través de proyectos colaborativos y el diálogo abierto"
"205","Para poder aprender y desarrollarme en el area de tecnologia investigativa y conocer mas acerca de estos programas tan llamativos y interesantes.
Creo firmemente que tengo un camino como investigador y aunque aun este en la universidad puedo destacar con los conocimientos que tengo y voy a aprender.","Acceso limitado a recursos tecnológicos y datos abiertos.
Resistencia al cambio cultural en instituciones tradicionales.
Conflictos con privacidad y propiedad intelectual en IA y LLMs.
Financiación insuficiente para infraestructura y capacitación.","Mayor confianza gracias a la transparencia en resultados y procesos.
Promoción de la ciencia ciudadana y participación comunitaria.
Democratización del acceso a tecnologías y conocimiento."
"206","Mejorar capacidades de investigación","Los costes y falta de apoyo institucional","Mejora el interés por investigar y publicar para la comunidad."
"207","Considero que es de vital importancia avanzar en la construcción de conocimiento colectivo, y para tal fin, creo que la ciencia abierta es un camino viable.","La falta de formación en cuanto a dónde publicar, y las habilidades técnicas para publicar código documentado, además de los incentivos que hay por publicar en editoriales, bases de datos y revistas que no son de acceso abierto.","Creo que acercar el saber científico a la ciudadanía es vital para construir conocimiento colectivo, por lo que la adopción de la ciencia abierta permitiría una relación entre iguales, que reconozca diversas formas de saberes, dentro de los cuales el científico es solo uno más. Así, creo que la ciencia abierta puede ayudar a construir relaciones horizontales en la investigación y en la construcción de conocimiento."
"208","Formación continua","Censura por parte de las instituciones",NA
"209","Además de estudiar psicología, también curso la carrera de Educación. Por lo tanto, considero que aprender de los contenidos que ofrece el curso me ayuda a entender muchos aspectos en investigación relacionadas a ambas ciencias, la psicología y la educación. Asimismo, en el contexto en el que me encuentro, existen muchos desfavorecidos en cuanto al acceso a la ciencia, y desde la educación, estoy segura que puedo compartir los aprendido con ellos.","Resistencia al cambio, ya que muchos investigadores en psicología o educación, aún mantienen formas tradicionales de publicación, y no están al tanto de los beneficios de la ciencia abierta. 

También existen preocupaciones por parte de profesionales en cuanto a la calidad y la validez de los datos abiertos, y que estos puedan ser mal interpretados o mal utilizados.","Pueden haber ventajas y desventajas, siempre y cuando, haya un buen manejo en la publicación de información.
Habría mayor transparencia y mayor participación por parte de la población, sin embargo, puede haber ciertos riesgos en cuanto a la desinformación o a la mal interpretación de los resultados."
"210","Actualmente participo de investigaciones sobre el pasado prehispanico desde una perspectiva participativa y me interesa los recursos que esta formación puede aportar a mi trabajo. Además, trabajo activamente en divulgación cientifica para infancias y adolescencias, otro espacio donde los conociemientos adquiridos pueden tener un gran impacto.","En primer lugar, creo que las principales barreras estan dentro de la propia comunidad cientifica y de las insitituciones financiadoras que no le otorgan valor y/no acompañan esta clase de proyectos.","Creo que positivamente, ya que refuerza el vinculo comunidadad-cientificxs, aporta a la generación de conocimientos y promueve la horizontalidad."
"211","Mejorar el acceso a la ciencia abierta y/o conocer más acerca de la misma es un objetivo que tenemos que lograr entre la comunidad científica.","El poco conocimiento acerca de los recursos disponibles para lograr hacerlo.","Podría reducir la brecha existente, ya que la ciencia aún sigue siendo un tema ""complicado"" o ""tabú"" en la población en general."
"212","Porque deseo adquirir mayor conocimiento.","Financiamiento","Identificando alguna necesidad y  poner un plan de acción para solucionarlo."
"213","me interesa conocer sobre la ciencia abierta. Ver de que forma yo podría participar","Creo que tiene que ver con el acceso a subsidios y tecnologías para poder generar datos nuevos. Lo escaso y engorroso de esos procesos hace que la obtención de datos sea muy costosa y lenta. Eso radicaría en una desventaja para la generación de nuevos proyectos respecto de otros países con más recursos que no siempre comparten sus datos.","Pienso que sería beneficiosa para la toma de decisiones conscientes basadas en información verídica"
"214","Es una herramienta importante para la investigación, conocer a fondo la ciencia abierta","El reconocimiento","Influiria para tener acceso a información comprobada"
"215","Motivación propia","Prejuicios","En la defensa y promoción de la ciencia a nivel gubernamental por parte de la sociedad, algo que hoy no ocurre"
"216","Para adentrarme en el mundo de la Ciencia Abierta",NA,"Enriqueciendo y retroalimentándose"
"217","Realizao investigaciones arqueológicas colaborativas con pueblos originarios ranqueles en la Provincia de La Pampa, Argentina","El uso de los datos generados por la investigación para fines lucrativos o actividades ilícitas","Podría generar el uso social de los saberes científicos y produndizar el desarrollo de las comunidades en otros ámbitos no académicos"
"218","Porque quiero aprender sobre los fundamentos de la ciencia abierta e interactuar con colegas latinoamericanos","El temor al plagio y la violacion de los derechos de autor","Ayudaria a dar a conocer el trabajo que realizamos, a difundir la importancia de la produccion de conocimiento basico en las distintas ramas y a eliminar prejuicios relacionados con la profesion"
"219","Porque me ayudaría a reforzar mis conocimientos en investigación, así como reconozco que la organización a cargo es experta en este ámbito,","Tal vez una de las barreras más importantes es el desconocimiento del publico sobre estas practicas en general.","La Ciencia Abierta facilitaría el hacer que el conocimiento sea más accesible, promoviendo la transparencia y facilitando la participación de las personas en proyectos científicos."
"220","Tiene una propuesta interesante, fuera de lo común. Es importante obtener toda la formación posible para estar al tanto de las últimas actualizaciones.","Primero, hay una resistencia cultural porque muchos están acostumbrados a mantener sus datos en privado. También falta financiamiento y apoyo. Además, muchos no saben cómo usar las herramientas necesarias para compartir información. La presión por publicar en revistas de prestigio también puede hacer que se sientan menos abiertos y colaboradores..","podría mejorar la relación entre la comunidad científica y el público; permite que el público entienda mejor los procesos y hallazgos científicos, lo que puede aumentar el interés y la participación en las investigaciones."
"221","Me gustaría aprender más sobre ciencia abierta, y poder promover buenas prácticas entre otras personas investigadoras.","Falta de conocimiento de como realizarlo, que si se debe y como no debe de realizarse. También desconozco las políticas éticas del manejo de datos al ser acceso abierto.","Podríamos obtener acceso a más recursos que en ocasiones tienen algún costo."
"222","Para enfocar de mejor manera mis conocimientos hacia la investigtación","Tal vez el hecho de que se utilice su trabajo como el de otra persona","Tal vez se podria generar un un mayor interes a traves de que se pueda dar una version mas sencilla de la investigacion para que la poblacion pueda entenderla"
"223","Para poder aprender de la mejor manera","Investigacion, organizacion","Sinceridad, honestidad"
"224","Porque soy docente y me gusta seguirme preparando","La protección a datos personales y falta de aviso de privacidad","Pueden influir mucho ya que se requiere el consentimiento informado de los participantes del estudio para realizar la publicación de los resultados y la publicación de bases de datos."
"225",NA,"falta de conocimiento",NA
"226","Soy editora asociada en una revista diamante, participe en un seminario de ciencia abierta para el bien común y ejerzo la docencia.","Escasez de políticas transparentes (sobre recursos, evaluaciones, infraestructura en ciencia abierta) tanto para instituciones como universidades que promuevan la creación de productos de ciencia abierta.","Creando ciencia para el bien común, conocimientos contextualizado y real donde participen tanto los académicos en conjunto con la ciudadanía para generarlo. En otras palabras, que se aplique la ciencia ciudadana."
"227","Me interesa formarme en ciencia abierta","El acceso al conocimiento de que es la ciencia abierta, la guía para la práctica, etc.","Mayor difusión y transparencia"
"228","es de interes personal asi como profesional, sobre todo en la practica de la ciencia abierta quisiera aprender mas, estando en un pais en desarrollo con la ciencia, me gustaria impulsarlo","la resistencia cultural ,la perdida de control de los datos asi como la conidencialidad","se tuviera mayor transpaarencia en los datos y metodos asi como resultados sobre todo reduce barreras economicas que enfrentan los investigadores/as para publicar"
"229","Tengo curiosidad, nunca había escuchado sobre esto.","El costo de publicar en algunas revista de alto impacto de acceso abierto. El miedo de perder la propiedad de los datos brutos y que sean usados y no se de el crédito correspondiente. No saber escribir o comunicar un proyecto de forma accesible para publico que no se maneja en el área.","En la percepción del trabajo del investigados, la motivación de niñ@ y adolecentes a ingresar a carreras STEM. influye en la enseñanza y aprendizaje ya que el material puede ser usado por docentes para sus practicas."
"230","Para replicar aprendizajes con mis estudiantes","Acceso, fuentes y formatos de publicación","Brinda acceso al público general para conocer  el avance en la ciencia y reconocer como funciona su entorno"
"231","ampliar mi formación en ciencia abierta","miedo","se puede beneficiar de muchas formas y muchas veces en un inicio se desconoce"
"232","El año pasado regresé a la universidad interesada en la Comunicación Científica. Fuera, entendí que mis antecedentes académicos también incluían la experiencia en esta área, generalmente designada a las integrantes mujeres y de cargo menor (no becarix, ni egresadx), en una posición subordinada. De esto no se habla mucho. También estoy interesada en la Museología, proyecto un posgrado sobre los museos astronómico y meteorológico de mi ciudad (Córdoba), así que estuve realizando cursos sobre Enfoque STEAM (UNC), Didáctica de la astronomía (UNLP), y Estudios sociales de la ciencia y la técnología en Latinoamérica (UNRN)","Con respecto a la comunicación al público en general (divulgación), la generación de más edad de profesorxs/investigadorxs es MUY reticente. No la practica y no la recomienda a sus estudiantes. Mientras, los más jóvenes están más dispuestos a experimentar con otros formatos, inclusive cuando tengan que mostrar los procedimientos de investigación, la ""cocina"".","Ayudaría muchísimo a que se forme un imaginario social de la ""rigurosidad científica"" mucho más cercano a la de la práctica real."
"233","Estoy actualmente en un proyecto de Ciencia Abierta con colaboración de universidades belgas.","Considero que aún no hemos logrado tener un total entendimiento por parte de los investigadores sobre la importancia de usar estas prácticas","Sería muy beneficioso para asegurar la transferencia de conocimiento."
"234","Porque me interesa seguir capacitandome y formandome en mi camino en la investigación.","La verdad es que no tengo idea porque no conozco, o creo que no conozco, las prácticas de Ciencia Abierta. Entiendo en términos generales a qué nos referimos, pero no quiero inventar algo solamente para responder.","Me arriesgo a decir que sería un paso grande en relación a la divulgación científica, esto generaría mayor impacto social, conocimiento específico difundido por profesionales y especialistas en el tema. Se acerca al público información relevante de una manera accesible."
"235","Porque sé que puedo ayudar e inspirar a otras personas a incursionar en la investigación, a las áreas de la población que siquiera tienen la posibilidad de acceder a una educación digna.","los isntrumentos necesarios para hacer su investigación en el caso de ser una disciplina que requiera procesos experimentales, o el acceso a información específica","sería prometedor contribuiría a la formación y a la divulgación , pero debería ser regulado"
"236","Quiero prrfeccionarme","Económico","Conocimiento"
"237","Porque me gustaría ampliar mis aprendizajes y experiencias acerca de la Ciencia Abierta, para llevar la ciencia al publico de forma sencilla.","La difusión de los los instrumentos usados para recolectar datos, compartir el código en repositorios abiertos y difundir resultados en medios como blogs, redes sociales o podcasts, entre otros.","En que la ciudadanía estaría más familiarizada con el desarrollo de la ciencia, accederían de forma adecuada a la información y de esta forma entrenarían su pensamiento crítico ante las fake news"
"238","Como investigadora me interesa que la ciencia sea más accesible a todos, en especial a comunidades indigenas. Considero que la ciencia debe ser para todos y que nuestros resultados de investigación deberían tener repercusiones importantes que contribuyan al bienestar de las poblaciones. Por ello, considero que el curso contribuirá a generar reflexiones, análisis, compartir y conocer estrategias y experiencias para dirigir iniciativas y/o acciones que permitan hacer accesible el conocimiento científico.","A veces las revistas de open access tienen valores elevados para publicar artículos","Considero que permitiría una relación más equitativa en el acceso al conocimiento científico, pues muchas veces los resultados de las investigaciones se limitan a ser difundidos en medios poco accesibles."
"239","Para adquirir conocimientos sobre el tema y emplearlo en futuras investigaciones.","La brecha digital","Optimizar la comunicacion"
"240","Laboro en área dedicada a realizar difusión científica","las regulaciones de propiedad intelectual y el tratamiento de datos estipulados como sensibles o confidenciales","democratizar el conocimiento"
"241","Porque veo las oportunidades de desarrollo que la formación ofrece y deseo ser innovadora en mi práctica científica. Deseo hacer ciencia para todos y no solo para científicos.","La falta de presupuesto para investigar, poca accesibilidad de investigadores seniors en aceptar integrarse con juniors. La difusión, la aceptación, inclusión y apertura de espacios divulgativos.","Abriría espacios de debate, generaría interés por parte de la población en general hacia la ciencia e investigación, animaría a más personas a aprender sobre investigación y a practicarla."
"242","Soy una persona que promueve la ciencia abierta en mi universidad y en los espacios que he tenido que participar y capacitarse es ideal para la difusión y fortalecimiento.","El desconocimiento y la falta de difusión","En que la gente pueda realizar sus publicaciones de manera gratuita"
"243","Porque quiero conocer","Dinero","Abierta"
"244","Me interesa la democratización del conocimiento y en ese sentido me gustaría aprender un poco más sobre lo que significa ciencia abierta y como implementarla.","Las revistas open access suelen ser más caras. Incluso los repositorios de datos sugeridos por las revistas o son pagos o tardan bastante. Pero sobre todo la falta de recompensa en el sistema de evaluación, lo que disminuye el incentivo para invertir tiempo en estas prácticas.","La verdad no se"
"245","La idea de aprender sobre ciencia abierta me llamó la atención, tengo formación en Estadística y ciencia de datos, quisiera aprender sobre cómo puedo poner en práctica mis habilidades en un contexto de datos abiertos en Latinoamérica, la idea de compartir estas sesiones con diferentes profesiones me emociona. Veo muchas posibilidades al combinar nuestras habilidades en equipo y ver el mundo de información que podemos obtener a través de los datos abiertos a eso añadiendo que me encanta la investigación pero desafortunadamente no he podido incursionar en ese ámbito de lleno","En mi perspectiva, las barreras para adoptar prácticas de Ciencia Abierta comienzan con la confidencialidad y privacidad de los datos, ya que muchos investigadores temen comprometer esta información sensible. Otra barrera importante es la falta de conocimiento sobre cómo acceder y compartir datos de manera correcta a través de plataformas adecuadas.
Como estadística y científica de datos, reconozco el inmenso valor de los datos y la importancia de proteger su privacidad. Aún con estas barreras considero que, con una adecuada capacitación y respetando las normativas éticas, estos datos valiosos pueden transformarse en información útil y accesible para impulsar investigaciones y tomar decisiones informadas.","La ciencia siempre ha sido una herramienta fundamental para tomar decisiones o comprender diversos temas. Sin embargo, en muchas ocasiones, hemos sido privados del acceso a los datos, métodos e incluso resultados que la respaldan. La Ciencia Abierta, en este sentido, fortalece la relación entre la comunidad científica y el público al promover la transparencia, generando así mayor confianza en los resultados que los científicos presentan.
Además, puede contribuir al desarrollo del pensamiento científico y crítico en la población, habilidades que muchas personas aún no han desarrollado plenamente. Al hacer la ciencia más accesible, también se puede despertar la curiosidad por aprender, motivando a más personas a interesarse por los procesos y resultados científicos"
"246","Actualización de mis conocimientos","Recolección de la información","cambio de paradigma"
"247","Si bien no he hecho investigaciones complejas antes, he realizado estudios de impacto socioeconómico para alguna institución publica y universidad. 
Este camino me interesa mucho, por lo que quiero adentrarme en el programa y aprender lo más posible","Falta de datos primarios, y confiabilidad de los datos secundarios","Obtención de datos, e información relevante.
Conocimientos compartidos, creo que hacen mucha falta, sobre todo una plataforma confiable, dónde se asegure que los datos sean verificados"
"248","Colaborar un poco y mantenerme informado sobre los debates y avances","Estar en una comunidad de investigación","En una sociedad educada, consciente y más colaborativa"
"249","me gustaría conocer, entender y participar de todo el movimiento así commo visibilizar a poblaciones que normalmente son excluidas del mundo académico.","Falta de accesibilidad, herramientas en todos los niveles de lo aquí preguntado que permitan a todos los tipos de discapacidades en usar, aprobechar, entender, ampliar y aumentar el caudal investigador por las barreras de diseño, uso y desarrollo de las diversas formas de compartir el conocimiento.","Mejor comprención del papel del científico y del uso cotidiano d ela ciencia en ámbitos y aspectos que normalmente no se asumen como resultado de la ciencia."
"250","Por que me gustaría saber mas sobre la ciencia abierta","resistecia de investigadores que son colegas a adoptar esta forma de hacer ciencia","en la ética, ha hacer ciencia con mas calidad"
"251","Me interesa adquirir conocimiento sobre los principios y prácticas de la Ciencia Abierta, una tendencia en la investigación científica. Creo que al participar en este programa podré conocer y discutir estos principios, lo que me enriquecerá como investigadora. Además, al tener la posibilidad de interactuar con otros investigadores, me servirá para ampliar mi perspectiva profesional y mi red de contactos.","En criminología y psicología forense, los estudios incluyen información confidencial sobre los participantes, lo que dificulta el acceso abierto a los datos. Algunos estudios están supeditados a contextos específicos y casos únicos, lo que hace que la replicación de los resultados sea más desafiante. En este sentido, los principios de Ciencia Abierta, como la replicabilidad y la transparencia, pueden no ser fácilmente aplicables o relevantes en ciertos tipos de investigaciones.","Al hacer accesibles los datos y los resultados de las investigaciones en criminología y psicología forense, puede ayudar a mejorar la confianza del público en las recomendaciones resultantes de las investigaciones científicas, ya que las personas pueden ver cómo se han llegado a ciertas conclusiones; y además no solo se apostará por más medidas punitivas para frenar la delincuencia si no también por estrategias de prevención, por ejemplo."
"252","cUALIFICACIÓN PROFESIONAL E INICIAR","Falta de claridad en el concepto de Ciencia Abierta, sus objetivos, fines y metas, manejo de las herramientas tecnológicas.","Valoración de los aportes a la sociedad de este sector de  la intelectualidad y/ académicos"
"253","Aprendizaje del usos de datos de forma abierta",NA,"positiva"
"254","Porque no existen, en mi país, este tipo de formación de manera regular","Desconocimiento de la práctica y recelo de la información","Mayor oportunidad para crear alianzas con investigadores con los mismos intereses"
"255","Me interesa formalizar, ordenar y profundizar mi conocimiento en Ciencia Abierta para pensar su relación en términos de generación de valor para la investigación en Ciencias Sociales computacionales","El ingreso a campo y poder sostener la investigación por cuestiones presupuestarias",NA
"256","Mejorar mi formación integral","Plagio","Mayor impacto de las investigaciones"
"257","Para tener mayor impacto en las investigaciones y también mayor difusión","El apoyo financiero","Concidero que sería un ambiente de retroalimentación"
"258","La investigación es vital como herramienta para resolver problemas y ante los cambios que enfrentamos se requiere indagación constante en beneficio del ser humano y del mundo","Falta de apoyo económico, falta de apoyo de encuestados o entrevistados para responder instrumentos, no cuentan con apoyo institucional para publicar los resultados","Puede beneficiar en cuanto a credibilidad, apoyo y accesibilidad"
"259","Actualización y certificación","La falta de canales para las ciencias jurídicas","Mayor acceso a información científica de calidad"
"260","por que me interesa aprender de ciencia abierta","el aprender el procedimiento de realizar ciencia abierta de manera correcta","puede influir en la inclusion de poblaciones y conocer diferentes contextos desde la ciencia"
"261","Necesito aprender bien sobre la Ciencia Abierta y promoverla en mi país","Compartir los datos de investigación","Si se comparten los resultados de investigación de forma abierta al público en general se beneficiarán directamente pues tendrían conocimiento de cómo solventar los problemas que les aquejan."
"262","Deseo dedicar mi tiempo a la investigación","El apoyo económicos por parte de mi país hacia las investigaciónes es una gran traba para poder investigar","Portando con conocimientos y compartiendo experiencias para poder hacer más trabajos de investigación"
"263","Para aplicar los conocimientos a adquirir en la docencia.","La aplicación.","Círculo virtuoso."
